Company Name,SIREN,Website,Main Activity,Business Sector,Detailed Sector,HQ Address,Zip Code,Department,Region Code,Employee Bracket,Number of Establishments,Revenue Year,Latest Revenue
"THE REMARKETING COMPANY","483598983","","45.20A","Wholesale and retail trade; repair of motor vehicles and motorcycles","Trade: Motor Vehicles and Repair","ZAC DES EOLIENNES 305 RUE GUSTAVE EIFFEL 26290 DONZERE","26290","26","84","22","5","2025",30792016
"TECALEMIT AEROSPACE LUCEAU","840146229","","30.30Z","Manufacturing","Manufacturing: Transport Equipment","ZA DU PARC DES BOSS 9 ROUTE DU DOME 69630 CHAPONOST","69630","69","84","NN","2","2024",38744299
"COSMETIQUE ACTIVE PRODUCTION (VICHY) (C.A.P.)","975620675","","20.42Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","1 RUE DE L'INDUSTRIE 03300 CREUZIER-LE-VIEUX","03300","03","84","41","4","2024",668984681
"SOCIETE COATEX","971509070","","20.16Z","Manufacturing","Manufacturing: Chemicals, Pharma and Petroleum","ZI LYON NORD 35 RUE AMPERE 69730 GENAY","69730","69","84","22","3","2025",121802714
"MHP-MEDIPOLE HOPITAL PRIVE","493466783","","86.10Z","Human health and social work activities","Human Health and Social Work","CS 60279 158 RUE LEON BLUM 69100 VILLEURBANNE","69100","69","84","41","5","2024",93507758
"TORAY FILMS EUROPE","502454044","","22.21Z","Manufacturing","Manufacturing: Rubber, Plastic and Minerals","PLACE D'ARMENIE 01700 SAINT-MAURICE-DE-BEYNOST","01700","01","84","32","1","2024",142214822
"CLINIQUE DE LA SAUVEGARDE","509674008","","86.10Z","Human health and social work activities","Human Health and Social Work","LIEUDIT 113 AV DAVID BEN GOURION 69009 LYON 9EME","69009","69","84","32","2","2024",76056748
"FONDERIE VENISSIEUX","477566533","","24.51Z","Manufacturing","Manufacturing: Basic Metals and Fabricated Products","AV PIERRE COT 69200 VENISSIEUX","69200","69","84","31","2","2025",56287808
"COVIDIEN MANUFACTURING GRENOBLE","331407742","","32.50A","Manufacturing","Manufacturing: Furniture and Other","16 AVENUE CHARLES DE GAULLE 38800 LE PONT-DE-CLAIX","38800","38","84","31","2","2024",26859447
"HOPITAL PRIVE PAYS DE SAVOIE","329381743","","86.10Z","Human health and social work activities","Human Health and Social Work","19 AVENUE PIERRE MENDES FRANCE 74100 ANNEMASSE","74100","74","84","32","3","2024",51089392
